,CityID,Comments,Date,User
0,g28970,"For years I’ve lived in Manhattan, just a four-hour drive from Washington D.C., but I’ve always overlooked it when considering travel destination. D.C. is definitely among the most important cities in the US, but it always felt more like a place to spend a school field trip than an adult getaway.",Aug 2019,Travel Girls Getaways
1,g28970,,,
2,g28970,,,
3,g28970,"Due to the rapid spread of COVID-19, many popular tourist attractions have been shut down as governments encourage social distancing and discourage discretionary travel. However, many museums and exhibits offer virtual tours so you can travel the world without ever leaving your couch. From soothing jellyfish and otter livestreams from California's  Monterey Bay Aquarium to the interactive tour from the British Museum in London, there's plenty to keep you entertained. Click the link to read more.",Mar 17,Business Insider
4,g28970,,,
5,g28970,,,
6,g28970,"Top Places to Travel: Where to celebrate the FOURTH OF JULY . . . If the winter celebrations are over, it means it's time to start planning your summer celebrations. ",Jan 2019,Galavante
7,g28970,,,
8,g28970,,,
9,g28970,"Your 20s are a time to get out and explore new cultures, but don't forget to take advantage of the diverse destinations right here in the United States. Even if it's a quick weekend trip, it will feed that desire of wanderlust in just a few hours by simply hopping on a train or taking a road trip. Whether you're a foodie who's looking to try a new cuisine or a nature-lover who wants to hike the canyons, we've rounded up 2019's best places to travel in the US if you're in your 20s.",Dec 2019,PopSugar
10,g28970,,,
11,g28970,,,
12,g28970,"Visit Washington, DC during Passport DC, a springtime celebration of international cultures in the District. Passport DC is a month-long festival in May that pays tribute to Washington, DC's thriving…",Jun 2019,"Visit Washington, DC"
13,g28970,,,
14,g28970,,,
15,g28970,"The Best Things To Do In Washington D.C. - What to see, do & eat! 🇺🇸",Jan 2020,Hand Luggage Only
16,g28970,,,
17,g28970,,,
18,g28970,"From the Baseball Hall of Fame in New York to a jungle in Florida, here are some of the best museums, zoos, and aquariums where you can spend the night.",Sep 2019,Matador Network
19,g28970,,,
20,g28970,,,
21,g28970,,Feb 2020,SmarterTravel
22,g28970,,,
23,g28970,,,
24,g28970,"Pair Instagram-worthy views with a cool drink and delicious bites at these Washington, DC rooftop bars and restaurants. It's always the right time to head out on the town, find the nearest rooftop…",Jun 2019,"Visit Washington, DC"
25,g28970,,,
26,g28970,,,
27,g28970,,Jul 2019,Insider
28,g28970,,,
29,g28970,,,
30,g28970,Explore the best of kid-friendly DC with these museums and attractions that are perfect for the whole family. DC’s wealth of museums and attractions means there are always magical places where kids…,Jun 2019,"Visit Washington, DC"
31,g28970,,,
32,g28970,,,
33,g28970,,Jul 2019,SmarterTravel
34,g28970,,,
35,g28970,,,
36,g28970,"Discover the best free experiences, attractions and things to do in the nation's capital The list of free things to do in DC is quite long, headlined by Smithsonian museums, the National Gallery of…",Jun 2019,"Visit Washington, DC"
37,g28970,,,
38,g28970,,,
39,g28970,Did your go-to airport make the list?,Aug 2019,The Points Guy
40,g28970,,,
41,g28970,,,
42,g28970,,Sep 2007,Travel With Bender
43,g28970,,,
44,g28970,,,
