,CityID,Comments,Date,User
0,g30196,"Whether your drink of choice is vodka, whiskey or gin, you'll find plenty to sip in the many craft distilleries located in and around Austin.",Dec 2019,"Visit Austin, TX"
1,g30196,,,
2,g30196,,,
3,g30196,,Aug 2019,Insider
4,g30196,,,
5,g30196,,,
6,g30196,"Planning a trip in February and looking for events and things to do in Austin? From food to film and coffee to culture, here are a few of our favorite Austin events in February to add to your list!",Feb 2020,"Visit Austin, TX"
7,g30196,,,
8,g30196,,,
9,g30196,,Sep 2019,SmarterTravel
10,g30196,,,
11,g30196,,,
12,g30196,"When visiting Austin, you’re not only guaranteed great music, good food and Southern hospitality — you’ll also have access to some of the most innovative and creative organizations and businesses in the country. Here are a few local creative companies you can experience during your trip to Austin.",Feb 2020,"Visit Austin, TX"
13,g30196,,,
14,g30196,,,
15,g30196,"Looking to do your holiday shopping in Austin? Here are 25+ locally owned stores where you can shop for everyone on your list, from chic boutiques to beloved bookshops.",Dec 2019,"Visit Austin, TX"
16,g30196,,,
17,g30196,,,
18,g30196,Always looking for wine shops when you travel? Here's a list of the best ones across the country. ,Oct 2019,Wine Enthusiast
19,g30196,,,
20,g30196,,,
21,g30196,"Not quite sure where to jet-set these days? Leave it up to the stars! In our new horoscope column, astrology guru Bethany Heitman reveals the number one place you should travel each month, according to your zodiac sign.",Mar 9,Jetsetter
22,g30196,,,
23,g30196,,,
24,g30196,"Get your fill of live music, outdoor activities, cultural events and exhibits in Austin this winter. Here are our top events and things to do in January.

",Jan 2020,"Visit Austin, TX"
25,g30196,,,
26,g30196,,,
27,g30196,"In order to qualify, properties must rank high in excellence for housekeeping two years in a row in their inspection and have no AAA member complaints. ",Aug 2019,SmarterTravel
28,g30196,,,
29,g30196,,,
30,g30196,,Feb 2020,"Visit Austin, TX"
31,g30196,,,
32,g30196,,,
33,g30196,"Celebrate the holidays with a visit to the Austin Trail of Lights. This iconic installation has been taking over Zilker Park for 55 years, with nearly 2 million dazzling lights on display. Plus, local live music, food trucks, a craft artisan market & family-friendly holiday activities!",Dec 2019,"Visit Austin, TX"
34,g30196,,,
35,g30196,,,
36,g30196,THE. WAIT. IS. FINALLY. OVER. ,Oct 2019,The Points Guy
37,g30196,,,
38,g30196,,,
39,g30196,"Have you explored North Austin? Discover diverse restaurants, nightlife, Kid-friendly activities, high-end shopping & more!",Jan 2020,"Visit Austin, TX"
40,g30196,,,
41,g30196,,,
42,g30196,"In Sweden, Absolut Vodka offers its own museum that is complete with a bar and restaurant. The Russian Vodka Museum has the world's largest collection of Russian vodkas and visitors can enjoy a guided experience that includes a tasting.",Aug 2019,Business Insider
43,g30196,,,
44,g30196,,,
45,g30196,"Take a Hill Country road trip this fall and explore 15 charming small towns where you'll discover scenic wineries, vintage dance halls and awesome outdoor adventures!",Dec 2019,"Visit Austin, TX"
46,g30196,,,
47,g30196,,,
48,g30196,"From art bazaars and festive films to holiday lights festivals and Santa sightings, we've got your top events and things to do in Austin this December",Dec 2019,"Visit Austin, TX"
49,g30196,,,
50,g30196,,,
